,ingredient,category,description,rating,rating_num
250,borate,preservatives,Group of compounds used in cosmetics in small quantities primarily as pH adjusters (they have a pH...,Poor,-1.0
251,borax,preservatives,"Also known as sodium borate decahydrate, borax is a mineral composed of sodium, boron, oxygen, and...",Poor,-1.0
252,boric acid,preservatives,May have skin soothing and restoring benefits…,Good,3.0
253,boron nitride,absorbent,"Synthetic, inorganic powder, which in cosmetics has absorbent properties similar to those of...",Good,3.0
254,boswellia carterii,"plant extracts, fragrance: synthetic and fragrant plant extracts",,Poor,-1.0
255,boswellia serrata extract,"skin-soothing, fragrance: synthetic and fragrant plant extracts, plant extracts","An extract from the gum resin of a tree and also a source of Indian frankincense, this plant extract has both positive and negative qualities for skin.",Average,1.0
256,botanicals,plant extracts,"General term for a large group of natural ingredients. Botanicals may or may not be organic, and...",Average,1.0
257,boysenberry,"antioxidants, plant extracts","Berry that can have potent antioxidant properties (Source: Journal of Agricultural Food Chemistry,...",Best,5.0
258,brassica campestris,"antioxidants, emollients",,Best,5.0
259,brazil nut extract,"antioxidants, plant extracts",Extract for which there is a small amount of research showing it can have antioxidant properties...,Good,3.0
260,broad spectrum,sunscreen actives,"Term that, when applied to sunscreen, refers to a sunscreen’s ability to protect the skin from both...",Good,3.0
261,bromelain,"plant extracts, exfoliant","Bromelain is an extract from the pineapple that contains, among other components, various...",Good,3.0
262,bronopol,preservatives,"Technical name 2-bromo-2-nitropropane-1,3-diol, a formaldehyde-releasing preservative (Source:...",Poor,-1.0
263,bronze powder,coloring agents/pigments,Mineral coloring agent derived from copper. Permanently listed (since 1977) by the FDA as a safe...,Good,3.0
264,buddleja davidii extract,"antioxidants, plant extracts",Plant also known as summer lilac or butterfly bush (because the flowers are a food source for...,Best,5.0
265,bumetrizole,sunscreen actives,Sunscreen ingredient that absorbs primarily UVB light.,Good,3.0
266,bupleurum falcatum extract,plant extracts,A plant used in Chinese medicine for a varitety of ailments ranging from the common cold to liver...,Average,1.0
267,burdock root,"skin-soothing, antioxidants, plant extracts",Plant extract whose active constituents are skin soothing and antioxidant…,Best,5.0
268,butyl acetate,"film-forming agents, texture enhancer",Solvent used in nail polish and many other products.,Good,3.0
269,butylene glycol,texture enhancer,"Commonly-used ingredient that has multiple functions in cosmetics, including....",Good,3.0
270,butyl methoxydibenzoylmethane,sunscreen actives,,Best,5.0
271,butylparaben,preservatives,Parabens are a group of controversial preservatives that include butylparaben...,Poor,-1.0
272,butylphenyl methylpropional,fragrance: synthetic and fragrant plant extracts,Synthetic fragrance ingredient with a strong floral scent.,Poor,-1.0
273,butyrospermum fruit,"plant extracts, emollients","Fruit from the karite tree, scientific name Butyrospermum parkii, from which the fat is obtained to...",Best,5.0
274,butyrospermum parkii,"plant extracts, emollients, skin-replenishing",,Best,5.0
275,butyrosperum parkii (shea) butter extract,"emollients, antioxidants, plant extracts",Butyrosperum parkii (shea) butter extract doesn’t just have a rich texture; it’s also a rich source of antioxidants and replenishing antioxidants.,Best,5.0
276,buxus chinensis,"plant extracts, skin-replenishing, emollients",,Best,5.0
277,c10-30 cholesterol/lanosterol esters,emollients,Blend of cholesterol and fatty acid ester from lanolin. Functions as a skin conditioning agent.,Best,5.0
278,c11-15 pareth-7,"cleansing agents, emulsifiers","C11-15 pareth-7 is a lightweight, synthetic mixture of fatty alcohols and polyethylene glycols that functions as an emulsifier and surfactant.",Good,3.0
279,c12-15 alkyl benzoate,"texture enhancer, emollients",Synthetic ingredient used as an emollient and texture enhancing agent in cosmetics.,Good,3.0
280,c12-16 pareth-9,"cleansing agents, emulsifiers","C12-16 pareth-9 is a lightweight, synthetic mixture of fatty alcohols and polyethylene glycols that functions as an emulsifier and surfactant.",Good,3.0
281,c12-18 acid triglyceride,"texture enhancer, emollients",Used as an emollient and thickening agent in cosmetics.,Good,3.0
282,c13-14 isoparaffin,texture enhancer,A petroleum-derived ingredient whose wax-like texture functions as a thickening or gelling agent.,Good,3.0
283,c13-15 alkane,"skin-softening, miscellaneous",C13-15 alkane is a synthetic blend of alkanes that functions as a solvent.,Good,3.0
284,c18-36 acid triglyceride,"texture enhancer, emollients",Used as an emollient and thickening agent in cosmetics.,Good,3.0
285,c20-40 pareth-40,cleansing agents,Mixture of polyethylene glycols of various molecular weight that can function as stabilizing...,Good,3.0
286,caffeic acid,antioxidants,Antioxidant that has multiple benefits for skin…,Best,5.0
287,caffeine,"antioxidants, plant extracts",Caffeine is the chief stimulant in beverages such as coffee and tea. It’s often included in skincare products with claims...,Average,1.0
288,cajeputi oil,plant extracts,,Poor,-1.0
289,calamine,sensitizing,"Preparation of zinc carbonate, colored with ferric oxide (a form of rust). Zinc carbonate is a...",Poor,-1.0
290,calcium aluminum borosilicate,"thickeners/emulsifiers, texture enhancer",Calcium aluminum borosilicate is a mineral-derived thickening agent often used in powders.,Good,3.0
291,calcium ascorbate,"antioxidants, vitamins","Form of vitamin C; other forms include ascorbic acid, L-ascorbic acid, ascorbyl palmitate, and...",Best,5.0
292,calcium carbonate,absorbent,Chalk; used as an absorbent in cosmetics.,Good,3.0
293,calcium d-pantetheine-s-sulfonate,vitamins,,Good,3.0
294,calcium gluconate,skin-soothing,Calcium is an essential mineral for the body. A small amount of research shows calcium gluconate...,Good,3.0
295,calcium pantothenate,vitamins,Also known as pantothenic acid.,Good,3.0
296,calcium pca,"hydration, skin-replenishing","Calcium PCA is the calcium salt of PCA (pyrrolidone carboxylic acid), which is a key component of skin’s natural moisturizing factor, or NMF.",Best,5.0
297,calendula extract,"skin-soothing, antioxidants, plant extracts","Extract derived from the plant commonly known as pot marigold, there is little research showing...",Good,3.0
298,calendula officinalis flower extract,"antioxidants, plant extracts",,Good,3.0
299,calluna vulgaris flower extract,"skin-soothing, plant extracts","Also known as heather extract, this plant has skin-soothing properties...",Best,5.0
300,calophyllum inophyllum seed oil,plant extracts,,Good,3.0
301,camellia japonica flower extract,"antioxidants, plant extracts","Camellia japonica flower extract is also known as Tsubaki, Japanese camellia, common camellia.",Best,5.0
302,camellia oleifera,"antioxidants, plant extracts",,Best,5.0
303,camellia sinensis,"antioxidants, plant extracts",,Best,5.0
304,camphor,plant extracts,"Aromatic substance obtained from the wood of a tree common to Southeast Asia, Cinnamomum camphora,...",Poor,-1.0
305,cananga extract,"plant extracts, fragrance: synthetic and fragrant plant extracts","Fragrance used in cosmetics; it can be sensitizing to skin, much like ylang ylang.",Poor,-1.0
306,cananga odorata,"plant extracts, fragrance: synthetic and fragrant plant extracts",,Poor,-1.0
307,candelilla/jojoba/rice bran polyglyceryl-3 esters,thickeners/emulsifiers,"A natural mixture of polyglycerin-3, candelilla wax, jojoba seed wax, and rice bran wax...",Best,5.0
308,candelilla wax,"plant extracts, emollients, texture enhancer",Extract derived from candelilla plants; used as a thickening agent and emollient to give products...,Good,3.0
309,cannabidiol,"skin-restoring, skin-soothing",Cannabidiol is one of the components of the Cannabis sativa and Cannabis indica plants.,Best,5.0
310,cannabis sativa oil,"plant extracts, emollients",,Best,5.0
311,canola oil,"skin-soothing, skin-replenishing, plant extracts",Plant lipid that has skin restoring and soothing properties…,Best,5.0
312,caprooyl phytosphingosine,"skin-replenishing, skin-restoring",A mixture of fatty acids caproic acid and phytosphingosine.,Best,5.0
313,caprooyl sphingosine,"skin-replenishing, skin-restoring",A mixture of fatty acids caproic acid and sphingosine.,Best,5.0
314,caprooyl tetrapeptide-3,skin-restoring,,Best,5.0
315,caprylic/capric triglyceride,"plant extracts, emollients, texture enhancer","Derived from coconut oil and glycerin, it’s considered an excellent emollient and skin-replenishing ingredient.",Best,5.0
316,capryloyl glycerin/sebacic acid copolymer,"film-forming/holding agents, texture enhancer",A naturally-derived (coconut and castor oil) or synthetic ingredient...,Good,3.0
317,capryloyl glycine,hydration,,Good,3.0
318,capryloyl salicylic acid,"skin-soothing, exfoliant",Capryloyl salicylic acid is a derivative (ester) of salicylic acid developed by L’Oreal.,Best,5.0
319,caprylyl caprylate/caprate,"emollients, skin-softening",A synthetic ester blend of medium chain fatty acids and fatty alcohol that works as an emollient.,Good,3.0
320,caprylyl glycol,"plant extracts, preservatives",Skin and hair conditioning agent that may be plant-derived or synthetic. Often used as part of a...,Good,3.0
321,caprylyl methicone,"silicones, emollients",,Good,3.0
322,capsaicin,plant extracts,"Component of capsicum. When used topically, capsaicin can prevent the transmission of pain. It is...",Poor,-1.0
323,capsicum,plant extracts,"Large group of plants consisting primarily of the pepper family, including chili peppers and...",Poor,-1.0
324,capsicum oleoresin,plant extracts,Fatty resin derived from capsicum plants. It can be sensitizing to skin...,Poor,-1.0
325,caramel,coloring agents/pigments,Natural coloring agent.,Good,3.0
326,carbomer,texture enhancer,Group of thickening agents used primarily to create gel-like formulations.,Good,3.0
327,carbopol,texture enhancer,,Good,3.0
328,carboxylic acid,antioxidants,,Best,5.0
329,cardamom,"plant extracts, fragrance: synthetic and fragrant plant extracts","Plant of the ginger family, used as fragrance in cosmetics. Terpene, one of its major constituents,...",Poor,-1.0
330,carmine,coloring agents/pigments,Natural red color that comes from the dried female cochineal beetle. It is sometimes used to color...,Good,3.0
331,carnauba wax,"plant extracts, absorbent, texture enhancer","Natural, hard wax obtained from the leaves of palm trees. Used primarily as a thickening agent, but...",Good,3.0
332,carnitine,antioxidants,Naturally occurring amino acid. Deficiencies of this small but essential component can result in...,Best,5.0
333,carnosic acid,"antioxidants, plant extracts",Component of rosemary that is an antioxidant...,Best,5.0
334,carnosine,"antioxidants, plant extracts","Composed of amino acids, it has soothing and antioxidant properties...",Best,5.0
335,carnosol acid,"antioxidants, plant extracts",,Best,5.0
336,carrageenan,"plant extracts, texture enhancer",Seaweed gum used in cosmetics as a thickening agent with water-binding properties.,Good,3.0
337,carrot oil,"plant extracts, skin-replenishing, emollients",Emollient plant oil similar to other nonfragrant plant oils.,Best,5.0
338,carthamus tinctorius oil,"plant extracts, emollients",,Best,5.0
339,carvone,fragrance: synthetic and fragrant plant extracts,Essential oil used as a flavoring agent and fragrance component in cosmetics. It can be a...,Poor,-1.0
340,carya illinoensis oil,"plant extracts, emollients",,Good,3.0
341,casein,uncategorized,Substance derived from milk protein that may have some antioxidant properties when applied...,Good,3.0
342,cassia angustifolia seed polysaccharide,"emollients, plant extracts",Cassia angustifolia seed polysaccharide is the polysaccharide portion derived from the seed of the Cassia angustifolium plant.,Best,5.0
